,Symbol,Name,Price,Market Time,Change,Change %,Volume,Market cap,date/time
0,TSLA,"Tesla, Inc.",703.55,4:00PM EDT,-71.45,-9.22%,37.465M,728.885B,04/06/2022 02:25:57
1,^IXIC,Nasdaq,"12,012.73",5:15PM EDT,-304.16,-2.47%,3.593B,N/A,04/06/2022 02:25:57
2,NVAX,"Novavax, Inc.",44.76,4:00PM EDT,-11.21,-20.03%,23.178M,3.497B,04/06/2022 02:25:57
3,^GSPC,S&P 500,"4,108.54",4:59PM EDT,-68.28,-1.63%,1.88B,N/A,04/06/2022 02:25:57
4,TPTX,"Turning Point Therapeutics, Inc.",74.59,4:00PM EDT,+40.43,+118.35%,30.392M,3.705B,04/06/2022 02:25:57
5,ETH-USD,Ethereum USD,"1,773.59",8:36AM UTC,-41.43,-2.28%,14.171B,214.683B,04/06/2022 02:25:57
6,^DJI,Dow 30,"32,899.70",4:59PM EDT,-348.58,-1.05%,298.567M,N/A,04/06/2022 02:25:57
7,BTC-USD,Bitcoin USD,"29,763.59",8:37AM UTC,-716.36,-2.35%,25.062B,567.225B,04/06/2022 02:25:57
8,SOL-USD,Solana USD,37.69,8:36AM UTC,-2.51,-6.25%,1.503B,12.808B,04/06/2022 02:25:57
9,AAPL,Apple Inc.,145.38,4:00PM EDT,-5.83,-3.86%,88.57M,2.353T,04/06/2022 02:25:57
10,MU,"Micron Technology, Inc.",69.94,4:00PM EDT,-5.43,-7.20%,30.307M,78.1B,04/06/2022 02:25:57
11,VICI,VICI Properties Inc.,31.39,4:00PM EDT,-0.03,-0.10%,13.561M,30.229B,04/06/2022 02:25:57
12,AMRN,Amarin Corporation plc,1.6800,4:00PM EDT,+0.2200,+15.07%,15.131M,666.973M,04/06/2022 02:25:57
13,SHOP,Shopify Inc.,353.66,4:00PM EDT,-45.21,-11.33%,4.969M,44.234B,04/06/2022 02:25:57
14,DOGE-USD,Dogecoin USD,0.082337,8:37AM UTC,+0.000276,+0.34%,456.02M,10.924B,04/06/2022 02:25:57
15,HUSA,Houston American Energy Corp.,5.65,4:00PM EDT,+1.22,+27.54%,22.169M,56.095M,04/06/2022 02:25:57
16,NVTA,Invitae Corporation,3.0200,4:00PM EDT,-0.5400,-15.17%,12.781M,692.453M,04/06/2022 02:25:57
17,^RUT,Russell 2000,"1,883.05",4:30PM EDT,-14.62,-0.77%,0,N/A,04/06/2022 02:25:57
18,AI,"C3.ai, Inc.",19.84,4:00PM EDT,+2.22,+12.60%,12.578M,2.108B,04/06/2022 02:25:57
19,DKNG,DraftKings Inc.,12.72,4:00PM EDT,-1.54,-10.80%,28.943M,5.563B,04/06/2022 02:25:57
20,SBUX,Starbucks Corporation,79.05,4:00PM EDT,-0.37,-0.47%,10.416M,90.662B,04/06/2022 02:25:57
21,XOM,Exxon Mobil Corporation,99.09,4:04PM EDT,+1.42,+1.45%,20.77M,417.486B,04/06/2022 02:25:57
22,MMM,3M Company,145.97,4:04PM EDT,-2.21,-1.49%,1.826M,83.066B,04/06/2022 02:25:57
23,RIVN,"Rivian Automotive, Inc.",30.19,4:00PM EDT,-1.75,-5.48%,13.756M,26.67B,04/06/2022 02:25:57
24,VOO,Vanguard 500 Index Fund,377.44,4:00PM EDT,-6.21,-1.62%,2.747M,N/A,04/06/2022 02:25:57
25,GM,General Motors Company,37.61,4:00PM EDT,-1.26,-3.24%,11.665M,54.844B,04/06/2022 02:25:57
26,ADA-USD,Cardano USD,0.566371,8:36AM UTC,-0.021495,-3.66%,849.026M,19.116B,04/06/2022 02:25:57
27,ZIM,ZIM Integrated Shipping Services Ltd.,67.70,4:00PM EDT,+1.33,+2.00%,2.475M,8.111B,04/06/2022 02:25:57
28,COIN,"Coinbase Global, Inc.",66.69,4:00PM EDT,-7.13,-9.66%,10.214M,17.466B,04/06/2022 02:25:57
29,BRK-B,Berkshire Hathaway Inc.,310.94,4:03PM EDT,-4.01,-1.27%,2.304M,686.204B,04/06/2022 02:25:57
